"DATE","BOROUGH","ZIP.CODE","LATITUDE","LONGITUDE","PERSONS.INJURED","PERSONS.KILLED","VEHICLE.1.TYPE","VEHICLE.2.TYPE","VEHICLE.1.FACTOR","VEHICLE.2.FACTOR","VEHICLE.3.FACTOR","VEHICLE.4.FACTOR","VEHICLE.5.FACTOR","day","month","hour","Classify"
2015-03-01,"BRONX",10465,40.8269677,-73.8254144,0,0,"PASSENGER VEHICLE","SPORT UTILITY/STATION WAGON","TRAFFIC CONTROL DISREGARDED","UNSPECIFIED","","","","Sun","Mar",10,"SAFE"
2015-03-01,"STATEN ISLAND",10309,40.5370287,-74.2373701,0,0,"PASSENGER VEHICLE","","OTHER VEHICULAR","","","","","Sun","Mar",10,"SAFE"
2015-03-01,"BROOKLYN",11229,40.5962996,-73.9597785,0,0,"UNKNOWN","PASSENGER VEHICLE","UNSPECIFIED","UNSPECIFIED","","","","Sun","Mar",10,"SAFE"
2015-03-01,"BRONX",10471,40.9045032,-73.8964115,0,0,"PASSENGER VEHICLE","","DRIVER INATTENTION/DISTRACTION","UNSPECIFIED","","","","Sun","Mar",10,"SAFE"
2015-03-01,"MANHATTAN",10026,40.8081722,-73.9563452,1,0,"SPORT UTILITY/STATION WAGON","SPORT UTILITY/STATION WAGON","DRIVER INATTENTION/DISTRACTION","UNSPECIFIED","UNSPECIFIED","","","Sun","Mar",10,"INJURED"
2015-03-01,"BRONX",10461,40.8496762,-73.835801,2,0,"SPORT UTILITY/STATION WAGON","PASSENGER VEHICLE","UNSPECIFIED","UNSPECIFIED","UNSPECIFIED","UNSPECIFIED","","Sun","Mar",10,"INJURED"
2015-03-01,"BROOKLYN",11216,40.678723,-73.9529869,0,0,"BUS","VAN","LOST CONSCIOUSNESS","UNSPECIFIED","","","","Sun","Mar",10,"SAFE"
2015-03-01,"BRONX",10454,40.8043441,-73.9215703,0,0,"SPORT UTILITY/STATION WAGON","SPORT UTILITY/STATION WAGON","UNSPECIFIED","UNSPECIFIED","UNSPECIFIED","","","Sun","Mar",10,"SAFE"
2015-03-01,"MANHATTAN",10009,40.7284761,-73.9756966,0,0,"SMALL COM VEH(4 TIRES)","TAXI","UNSPECIFIED","UNSPECIFIED","","","","Sun","Mar",10,"SAFE"
2015-03-01,"BROOKLYN",11219,40.6237024,-74.0038905,0,0,"PASSENGER VEHICLE","UNKNOWN","UNSPECIFIED","UNSPECIFIED","","","","Sun","Mar",10,"SAFE"
2015-03-01,"MANHATTAN",10128,40.778486,-73.9452545,0,0,"PASSENGER VEHICLE","UNKNOWN","OTHER VEHICULAR","DRIVER INATTENTION/DISTRACTION","","","","Sun","Mar",10,"SAFE"
2015-03-01,"QUEENS",11422,40.6655588,-73.7298428,0,0,"SPORT UTILITY/STATION WAGON","PASSENGER VEHICLE","TURNING IMPROPERLY","UNSPECIFIED","","","","Sun","Mar",11,"SAFE"
2015-03-01,"BROOKLYN",11219,40.6357263,-73.984219,0,0,"PASSENGER VEHICLE","SPORT UTILITY/STATION WAGON","DRIVER INATTENTION/DISTRACTION","UNSPECIFIED","","","","Sun","Mar",11,"SAFE"
2015-03-01,"BROOKLYN",11226,40.6554241,-73.950066,0,0,"SPORT UTILITY/STATION WAGON","PASSENGER VEHICLE","UNSPECIFIED","UNSPECIFIED","","","","Sun","Mar",11,"SAFE"
2015-03-01,"QUEENS",11419,40.6905606,-73.8140919,0,0,"SPORT UTILITY/STATION WAGON","SPORT UTILITY/STATION WAGON","UNSPECIFIED","UNSPECIFIED","","","","Sun","Mar",11,"SAFE"
2015-03-01,"BROOKLYN",11201,40.6885723,-73.9910936,0,0,"SPORT UTILITY/STATION WAGON","PASSENGER VEHICLE","UNSPECIFIED","","","","","Sun","Mar",11,"SAFE"
2015-03-01,"QUEENS",11378,40.7243905,-73.9043688,0,0,"SPORT UTILITY/STATION WAGON","SPORT UTILITY/STATION WAGON","UNSPECIFIED","UNSPECIFIED","","","","Sun","Mar",11,"SAFE"
2015-03-01,"BROOKLYN",11213,40.6795925,-73.934873,0,0,"PASSENGER VEHICLE","","UNSPECIFIED","","","","","Sun","Mar",11,"SAFE"
2015-03-01,"MANHATTAN",10011,40.7458144,-74.0055325,0,0,"VAN","TAXI","UNSPECIFIED","UNSPECIFIED","","","","Sun","Mar",11,"SAFE"
2015-03-01,"BROOKLYN",11229,40.5984187,-73.9601805,0,0,"OTHER","PASSENGER VEHICLE","UNSPECIFIED","UNSPECIFIED","","","","Sun","Mar",11,"SAFE"
2015-03-01,"BRONX",10461,40.8547167,-73.8290324,0,0,"SPORT UTILITY/STATION WAGON","SPORT UTILITY/STATION WAGON","UNSPECIFIED","UNSPECIFIED","","","","Sun","Mar",11,"SAFE"
2015-03-01,"BROOKLYN",11217,40.6863108,-73.9744391,0,0,"TAXI","PASSENGER VEHICLE","DRIVER INATTENTION/DISTRACTION","UNSPECIFIED","","","","Sun","Mar",11,"SAFE"
2015-03-01,"MANHATTAN",10013,40.7181584,-73.9979293,0,0,"PASSENGER VEHICLE","PASSENGER VEHICLE","OTHER VEHICULAR","UNSPECIFIED","","","","Sun","Mar",11,"SAFE"
2015-03-01,"MANHATTAN",10004,40.7058694,-74.0132549,0,0,"PASSENGER VEHICLE","PASSENGER VEHICLE","FATIGUED/DROWSY","UNSPECIFIED","","","","Sun","Mar",11,"SAFE"
2015-03-01,"MANHATTAN",10002,40.7199725,-73.9928968,0,0,"SPORT UTILITY/STATION WAGON","TAXI","DRIVER INATTENTION/DISTRACTION","DRIVER INATTENTION/DISTRACTION","","","","Sun","Mar",11,"SAFE"
2015-03-01,"BROOKLYN",11223,40.5972745,-73.9705554,0,0,"PASSENGER VEHICLE","PASSENGER VEHICLE","UNSPECIFIED","UNSPECIFIED","","","","Sun","Mar",11,"SAFE"
2015-03-01,"BROOKLYN",11238,40.6785156,-73.9639002,0,0,"PASSENGER VEHICLE","PASSENGER VEHICLE","FATIGUED/DROWSY","FATIGUED/DROWSY","FATIGUED/DROWSY","","","Sun","Mar",11,"SAFE"
2015-03-01,"MANHATTAN",10012,40.7269334,-73.999917,1,0,"PASSENGER VEHICLE","BICYCLE","UNSPECIFIED","UNSPECIFIED","","","","Sun","Mar",11,"INJURED"
2015-03-01,"MANHATTAN",10013,40.7219679,-74.0082326,0,0,"LARGE COM VEH(6 OR MORE TIRES)","PASSENGER VEHICLE","FATIGUED/DROWSY","UNSPECIFIED","","","","Sun","Mar",11,"SAFE"
2015-03-01,"STATEN ISLAND",10304,40.6285435,-74.0764686,0,0,"SPORT UTILITY/STATION WAGON","SPORT UTILITY/STATION WAGON","UNSPECIFIED","UNSPECIFIED","","","","Sun","Mar",12,"SAFE"
2015-03-01,"BRONX",10458,40.8617006,-73.8913807,1,0,"LIVERY VEHICLE","PASSENGER VEHICLE","FAILURE TO YIELD RIGHT-OF-WAY","TURNING IMPROPERLY","","","","Sun","Mar",12,"INJURED"
2015-03-01,"BROOKLYN",11214,40.5892188,-73.9867071,0,0,"PASSENGER VEHICLE","UNKNOWN","UNSPECIFIED","UNSPECIFIED","","","","Sun","Mar",12,"SAFE"
2015-03-01,"QUEENS",11422,40.6529899,-73.7343409,0,0,"PASSENGER VEHICLE","PASSENGER VEHICLE","UNSPECIFIED","UNSPECIFIED","","","","Sun","Mar",12,"SAFE"
2015-03-01,"QUEENS",11434,40.6845406,-73.7795091,0,0,"SPORT UTILITY/STATION WAGON","PASSENGER VEHICLE","DRIVER INATTENTION/DISTRACTION","UNSPECIFIED","","","","Sun","Mar",12,"SAFE"
2015-03-01,"QUEENS",11365,40.7431652,-73.7789795,0,0,"PASSENGER VEHICLE","OTHER","BACKING UNSAFELY","UNSPECIFIED","","","","Sun","Mar",12,"SAFE"
2015-03-01,"QUEENS",11691,40.5962568,-73.766834,2,0,"PASSENGER VEHICLE","UNKNOWN","FATIGUED/DROWSY","UNSPECIFIED","","","","Sun","Mar",12,"INJURED"
2015-03-01,"BRONX",10458,40.8620661,-73.8948254,0,0,"VAN","VAN","OTHER VEHICULAR","LOST CONSCIOUSNESS","","","","Sun","Mar",12,"SAFE"
2015-03-01,"BROOKLYN",11223,40.6075302,-73.9648174,0,0,"VAN","PASSENGER VEHICLE","UNSPECIFIED","UNSPECIFIED","","","","Sun","Mar",12,"SAFE"
2015-03-01,"QUEENS",11358,40.757961,-73.7856623,1,0,"SPORT UTILITY/STATION WAGON","OTHER","OTHER VEHICULAR","PAVEMENT SLIPPERY","","","","Sun","Mar",12,"INJURED"
2015-03-01,"MANHATTAN",10010,40.7414135,-73.9833603,0,0,"SPORT UTILITY/STATION WAGON","UNKNOWN","UNSPECIFIED","UNSPECIFIED","","","","Sun","Mar",12,"SAFE"
2015-03-01,"BRONX",10454,40.8071867,-73.9242798,0,0,"SPORT UTILITY/STATION WAGON","PASSENGER VEHICLE","UNSPECIFIED","UNSPECIFIED","","","","Sun","Mar",12,"SAFE"
2015-03-01,"BROOKLYN",11201,40.6947964,-73.9824524,0,0,"PASSENGER VEHICLE","PICK-UP TRUCK","OVERSIZED VEHICLE","UNSPECIFIED","","","","Sun","Mar",12,"SAFE"
2015-03-01,"BROOKLYN",11230,40.6163109,-73.9754817,0,0,"UNKNOWN","SPORT UTILITY/STATION WAGON","AGGRESSIVE DRIVING/ROAD RAGE","UNSPECIFIED","UNSPECIFIED","UNSPECIFIED","","Sun","Mar",12,"SAFE"
2015-03-01,"BROOKLYN",11234,40.6250313,-73.929483,0,0,"PASSENGER VEHICLE","SMALL COM VEH(4 TIRES)","UNSPECIFIED","UNSPECIFIED","","","","Sun","Mar",12,"SAFE"
2015-03-01,"BROOKLYN",11234,40.6241643,-73.917751,0,0,"PASSENGER VEHICLE","SPORT UTILITY/STATION WAGON","UNSPECIFIED","UNSPECIFIED","","","","Sun","Mar",12,"SAFE"
2015-03-01,"QUEENS",11385,40.7070923,-73.8972304,0,0,"PASSENGER VEHICLE","VAN","UNSPECIFIED","UNSPECIFIED","","","","Sun","Mar",12,"SAFE"
2015-03-01,"BROOKLYN",11226,40.6407675,-73.9514066,0,0,"UNKNOWN","PASSENGER VEHICLE","UNSPECIFIED","UNSPECIFIED","","","","Sun","Mar",12,"SAFE"
2015-03-01,"BRONX",10466,40.8889346,-73.8364346,0,0,"OTHER","OTHER","UNSPECIFIED","UNSPECIFIED","","","","Sun","Mar",12,"SAFE"
2015-03-01,"BROOKLYN",11208,40.6682685,-73.8811518,0,0,"UNKNOWN","PASSENGER VEHICLE","PAVEMENT SLIPPERY","UNSPECIFIED","","","","Sun","Mar",12,"SAFE"
2015-03-01,"QUEENS",11427,40.7287922,-73.7463277,0,0,"PASSENGER VEHICLE","PASSENGER VEHICLE","UNSPECIFIED","UNSPECIFIED","","","","Sun","Mar",12,"SAFE"
2015-03-01,"MANHATTAN",10022,40.759308,-73.9652931,0,0,"PASSENGER VEHICLE","PICK-UP TRUCK","UNSPECIFIED","UNSPECIFIED","","","","Sun","Mar",13,"SAFE"
2015-03-01,"QUEENS",11373,40.7451995,-73.8715701,0,0,"LARGE COM VEH(6 OR MORE TIRES)","PASSENGER VEHICLE","UNSPECIFIED","UNSPECIFIED","","","","Sun","Mar",13,"SAFE"
2015-03-01,"QUEENS",11422,40.6637899,-73.7340168,0,0,"SPORT UTILITY/STATION WAGON","SPORT UTILITY/STATION WAGON","UNSPECIFIED","UNSPECIFIED","UNSPECIFIED","","","Sun","Mar",13,"SAFE"
2015-03-01,"QUEENS",11432,40.7118119,-73.7878451,0,0,"UNKNOWN","PASSENGER VEHICLE","UNSPECIFIED","UNSPECIFIED","","","","Sun","Mar",13,"SAFE"
2015-03-01,"BROOKLYN",11239,40.6528929,-73.8667311,0,0,"PASSENGER VEHICLE","PASSENGER VEHICLE","UNSPECIFIED","UNSPECIFIED","","","","Sun","Mar",13,"SAFE"
2015-03-01,"QUEENS",11358,40.7533319,-73.7805195,0,0,"PASSENGER VEHICLE","PICK-UP TRUCK","BACKING UNSAFELY","UNSPECIFIED","","","","Sun","Mar",13,"SAFE"
2015-03-01,"BRONX",10472,40.828303,-73.8829509,0,0,"PASSENGER VEHICLE","PASSENGER VEHICLE","UNSPECIFIED","UNSPECIFIED","","","","Sun","Mar",13,"SAFE"
2015-03-01,"BROOKLYN",11206,40.7015933,-73.9487475,1,0,"SMALL COM VEH(4 TIRES)","VAN","FAILURE TO YIELD RIGHT-OF-WAY","UNSPECIFIED","UNSPECIFIED","","","Sun","Mar",13,"INJURED"
2015-03-01,"BROOKLYN",11249,40.6991771,-73.960499,0,0,"PASSENGER VEHICLE","PASSENGER VEHICLE","PAVEMENT SLIPPERY","UNSPECIFIED","","","","Sun","Mar",13,"SAFE"
2015-03-01,"BROOKLYN",11229,40.5875049,-73.9259402,0,0,"PASSENGER VEHICLE","UNKNOWN","UNSPECIFIED","UNSPECIFIED","","","","Sun","Mar",13,"SAFE"
2015-03-01,"QUEENS",11417,40.6758525,-73.8506459,0,0,"PASSENGER VEHICLE","UNKNOWN","UNSPECIFIED","UNSPECIFIED","","","","Sun","Mar",13,"SAFE"
2015-03-01,"BRONX",10452,40.8360945,-73.9292593,0,0,"PASSENGER VEHICLE","UNKNOWN","DRIVER INATTENTION/DISTRACTION","UNSPECIFIED","","","","Sun","Mar",13,"SAFE"
2015-03-01,"BROOKLYN",11225,40.6661388,-73.9480682,0,0,"PASSENGER VEHICLE","VAN","OTHER VEHICULAR","UNSPECIFIED","","","","Sun","Mar",13,"SAFE"
2015-03-01,"QUEENS",11432,40.7204568,-73.8042645,0,0,"PASSENGER VEHICLE","SPORT UTILITY/STATION WAGON","PAVEMENT SLIPPERY","UNSPECIFIED","","","","Sun","Mar",13,"SAFE"
2015-03-01,"QUEENS",11422,40.6608694,-73.7424446,1,0,"SPORT UTILITY/STATION WAGON","","UNSPECIFIED","","","","","Sun","Mar",13,"INJURED"
2015-03-01,"QUEENS",11415,40.7120013,-73.8254559,3,0,"PASSENGER VEHICLE","PASSENGER VEHICLE","PAVEMENT SLIPPERY","OUTSIDE CAR DISTRACTION","UNSPECIFIED","","","Sun","Mar",13,"INJURED"
2015-03-01,"STATEN ISLAND",10307,40.5105181,-74.2482769,0,0,"SPORT UTILITY/STATION WAGON","SPORT UTILITY/STATION WAGON","UNSPECIFIED","UNSPECIFIED","","","","Sun","Mar",13,"SAFE"
2015-03-01,"MANHATTAN",10040,40.8650779,-73.9281077,0,0,"PASSENGER VEHICLE","UNKNOWN","UNSPECIFIED","UNSPECIFIED","","","","Sun","Mar",13,"SAFE"
2015-03-01,"BROOKLYN",11220,40.6404149,-74.0116096,0,0,"SPORT UTILITY/STATION WAGON","PASSENGER VEHICLE","DRIVER INATTENTION/DISTRACTION","UNSPECIFIED","","","","Sun","Mar",13,"SAFE"
2015-03-01,"QUEENS",11377,40.734053,-73.8960125,0,0,"PICK-UP TRUCK","PASSENGER VEHICLE","UNSPECIFIED","UNSPECIFIED","","","","Sun","Mar",13,"SAFE"
2015-03-01,"MANHATTAN",10065,40.7659113,-73.9634016,0,0,"PASSENGER VEHICLE","LIVERY VEHICLE","OTHER VEHICULAR","FATIGUED/DROWSY","","","","Sun","Mar",13,"SAFE"
2015-03-01,"QUEENS",11374,40.7285372,-73.8607565,0,0,"SPORT UTILITY/STATION WAGON","SPORT UTILITY/STATION WAGON","TRAFFIC CONTROL DISREGARDED","UNSPECIFIED","","","","Sun","Mar",13,"SAFE"
2015-03-01,"BRONX",10465,40.8186169,-73.8157285,0,0,"PASSENGER VEHICLE","UNKNOWN","UNSPECIFIED","UNSPECIFIED","","","","Sun","Mar",13,"SAFE"
2015-03-01,"BROOKLYN",11207,40.6700592,-73.8905572,0,0,"PASSENGER VEHICLE","PASSENGER VEHICLE","PHYSICAL DISABILITY","OTHER VEHICULAR","OTHER VEHICULAR","UNSPECIFIED","","Sun","Mar",13,"SAFE"
2015-03-01,"QUEENS",11434,40.6916518,-73.7791971,0,0,"PASSENGER VEHICLE","PASSENGER VEHICLE","UNSPECIFIED","UNSPECIFIED","","","","Sun","Mar",13,"SAFE"
2015-03-01,"BROOKLYN",11216,40.6750535,-73.9472285,0,0,"SPORT UTILITY/STATION WAGON","PASSENGER VEHICLE","PAVEMENT SLIPPERY","UNSPECIFIED","","","","Sun","Mar",13,"SAFE"
2015-03-01,"BRONX",10467,40.8856931,-73.8616389,0,0,"OTHER","OTHER","UNSPECIFIED","UNSPECIFIED","UNSPECIFIED","","","Sun","Mar",13,"SAFE"
2015-03-01,"BROOKLYN",11207,40.6769427,-73.8991047,0,0,"SPORT UTILITY/STATION WAGON","PASSENGER VEHICLE","UNSPECIFIED","UNSPECIFIED","","","","Sun","Mar",13,"SAFE"
2015-03-01,"BROOKLYN",11213,40.6725157,-73.9335533,1,0,"PASSENGER VEHICLE","PASSENGER VEHICLE","FATIGUED/DROWSY","FATIGUED/DROWSY","","","","Sun","Mar",13,"INJURED"
2015-03-01,"BROOKLYN",11208,40.6793614,-73.8797404,0,0,"SPORT UTILITY/STATION WAGON","SPORT UTILITY/STATION WAGON","UNSPECIFIED","UNSPECIFIED","","","","Sun","Mar",13,"SAFE"
2015-03-01,"BROOKLYN",11210,40.6233399,-73.9559401,0,0,"SPORT UTILITY/STATION WAGON","SPORT UTILITY/STATION WAGON","PAVEMENT SLIPPERY","PAVEMENT SLIPPERY","UNSPECIFIED","","","Sun","Mar",13,"SAFE"
2015-03-01,"QUEENS",11412,40.7041304,-73.7698325,0,0,"PASSENGER VEHICLE","UNKNOWN","UNSPECIFIED","UNSPECIFIED","","","","Sun","Mar",13,"SAFE"
2015-03-01,"QUEENS",11419,40.6847487,-73.8311195,2,0,"PASSENGER VEHICLE","SPORT UTILITY/STATION WAGON","PHYSICAL DISABILITY","PHYSICAL DISABILITY","","","","Sun","Mar",13,"INJURED"
2015-03-01,"BROOKLYN",11229,40.5875049,-73.9259402,0,0,"PASSENGER VEHICLE","UNKNOWN","UNSPECIFIED","UNSPECIFIED","","","","Sun","Mar",13,"SAFE"
2015-03-01,"MANHATTAN",10016,40.7472966,-73.974044,0,0,"SPORT UTILITY/STATION WAGON","SPORT UTILITY/STATION WAGON","UNSPECIFIED","UNSPECIFIED","","","","Sun","Mar",13,"SAFE"
2015-03-01,"BROOKLYN",11224,40.5803795,-73.9676001,1,0,"SPORT UTILITY/STATION WAGON","PASSENGER VEHICLE","DRIVER INATTENTION/DISTRACTION","DRIVER INATTENTION/DISTRACTION","","","","Sun","Mar",13,"INJURED"
2015-03-01,"BROOKLYN",11249,40.7110059,-73.9653687,0,0,"LIVERY VEHICLE","SPORT UTILITY/STATION WAGON","PAVEMENT SLIPPERY","UNSPECIFIED","","","","Sun","Mar",13,"SAFE"
2015-03-01,"BROOKLYN",11206,40.6963525,-73.940706,1,0,"AMBULANCE","PASSENGER VEHICLE","UNSPECIFIED","UNSPECIFIED","","","","Sun","Mar",13,"INJURED"
2015-03-01,"QUEENS",11365,40.7282678,-73.8071713,0,0,"PASSENGER VEHICLE","SPORT UTILITY/STATION WAGON","DRIVER INATTENTION/DISTRACTION","UNSPECIFIED","","","","Sun","Mar",14,"SAFE"
2015-03-01,"QUEENS",11366,40.727106,-73.805082,0,0,"PASSENGER VEHICLE","PASSENGER VEHICLE","PAVEMENT SLIPPERY","UNSPECIFIED","","","","Sun","Mar",14,"SAFE"
2015-03-01,"QUEENS",11373,40.73197,-73.8847763,0,0,"SPORT UTILITY/STATION WAGON","SPORT UTILITY/STATION WAGON","UNSPECIFIED","UNSPECIFIED","","","","Sun","Mar",14,"SAFE"
2015-03-01,"QUEENS",11414,40.6634537,-73.8341868,0,0,"SPORT UTILITY/STATION WAGON","SPORT UTILITY/STATION WAGON","DRIVER INATTENTION/DISTRACTION","UNSPECIFIED","","","","Sun","Mar",14,"SAFE"
2015-03-01,"QUEENS",11419,40.6901099,-73.8120486,0,0,"SPORT UTILITY/STATION WAGON","VAN","PAVEMENT SLIPPERY","UNSPECIFIED","UNSPECIFIED","UNSPECIFIED","","Sun","Mar",14,"SAFE"
2015-03-01,"BRONX",10467,40.8728912,-73.8806921,0,0,"PASSENGER VEHICLE","LARGE COM VEH(6 OR MORE TIRES)","UNSPECIFIED","UNSPECIFIED","","","","Sun","Mar",14,"SAFE"
2015-03-01,"BROOKLYN",11218,40.6365056,-73.9693599,0,0,"SPORT UTILITY/STATION WAGON","PASSENGER VEHICLE","PAVEMENT SLIPPERY","UNSPECIFIED","","","","Sun","Mar",14,"SAFE"
2015-03-01,"BROOKLYN",11219,40.635938,-73.9875841,0,0,"PASSENGER VEHICLE","PASSENGER VEHICLE","PAVEMENT SLIPPERY","UNSPECIFIED","","","","Sun","Mar",14,"SAFE"
2015-03-01,"BROOKLYN",11223,40.5943649,-73.9608887,0,0,"PASSENGER VEHICLE","UNKNOWN","UNSPECIFIED","UNSPECIFIED","","","","Sun","Mar",14,"SAFE"
2015-03-01,"BROOKLYN",11229,40.6068761,-73.9479487,0,0,"SPORT UTILITY/STATION WAGON","PASSENGER VEHICLE","PAVEMENT SLIPPERY","UNSPECIFIED","","","","Sun","Mar",14,"SAFE"
2015-03-01,"MANHATTAN",10019,40.7691169,-73.9885593,0,0,"PASSENGER VEHICLE","SMALL COM VEH(4 TIRES)","UNSPECIFIED","UNSPECIFIED","","","","Sun","Mar",14,"SAFE"
2015-03-01,"QUEENS",11358,40.7625895,-73.8046316,0,0,"PASSENGER VEHICLE","PASSENGER VEHICLE","FAILURE TO YIELD RIGHT-OF-WAY","UNSPECIFIED","","","","Sun","Mar",14,"SAFE"
2015-03-01,"BROOKLYN",11209,40.6294862,-74.022639,1,0,"BUS","SPORT UTILITY/STATION WAGON","PAVEMENT SLIPPERY","UNSPECIFIED","UNSPECIFIED","","","Sun","Mar",14,"INJURED"
2015-03-01,"QUEENS",11354,40.7652665,-73.815165,1,0,"PASSENGER VEHICLE","PASSENGER VEHICLE","PRESCRIPTION MEDICATION","UNSPECIFIED","","","","Sun","Mar",14,"INJURED"
2015-03-01,"STATEN ISLAND",10307,40.5140563,-74.2417733,1,0,"PASSENGER VEHICLE","PASSENGER VEHICLE","PAVEMENT SLIPPERY","PAVEMENT SLIPPERY","PAVEMENT SLIPPERY","PAVEMENT SLIPPERY","","Sun","Mar",14,"INJURED"
2015-03-01,"BROOKLYN",11217,40.6826706,-73.9718626,0,0,"UNKNOWN","UNKNOWN","UNSPECIFIED","UNSPECIFIED","","","","Sun","Mar",14,"SAFE"
2015-03-01,"BROOKLYN",11214,40.6081449,-74.0041129,0,0,"PASSENGER VEHICLE","SPORT UTILITY/STATION WAGON","PAVEMENT SLIPPERY","UNSPECIFIED","","","","Sun","Mar",14,"SAFE"
2015-03-01,"QUEENS",11357,40.7897865,-73.8141832,0,0,"PASSENGER VEHICLE","PASSENGER VEHICLE","DRIVER INATTENTION/DISTRACTION","UNSPECIFIED","","","","Sun","Mar",14,"SAFE"
2015-03-01,"BROOKLYN",11214,40.5836578,-73.9865462,0,0,"PASSENGER VEHICLE","SPORT UTILITY/STATION WAGON","FATIGUED/DROWSY","UNSPECIFIED","","","","Sun","Mar",14,"SAFE"
2015-03-01,"BROOKLYN",11212,40.6607702,-73.9197423,0,0,"SPORT UTILITY/STATION WAGON","PASSENGER VEHICLE","PAVEMENT SLIPPERY","PAVEMENT SLIPPERY","","","","Sun","Mar",14,"SAFE"
2015-03-01,"BROOKLYN",11218,40.6372957,-73.9682246,0,0,"SPORT UTILITY/STATION WAGON","SPORT UTILITY/STATION WAGON","PAVEMENT SLIPPERY","UNSPECIFIED","","","","Sun","Mar",14,"SAFE"
2015-03-01,"MANHATTAN",10040,40.8548284,-73.9313143,0,0,"PASSENGER VEHICLE","VAN","UNSPECIFIED","UNSPECIFIED","","","","Sun","Mar",14,"SAFE"
2015-03-01,"BRONX",10459,40.8252255,-73.8877728,0,0,"PASSENGER VEHICLE","PASSENGER VEHICLE","UNSPECIFIED","UNSPECIFIED","","","","Sun","Mar",14,"SAFE"
2015-03-01,"QUEENS",11101,40.755557,-73.9184695,2,0,"SPORT UTILITY/STATION WAGON","PASSENGER VEHICLE","UNSPECIFIED","UNSPECIFIED","UNSPECIFIED","","","Sun","Mar",14,"INJURED"
2015-03-01,"BROOKLYN",11230,40.6192495,-73.9709347,0,0,"SPORT UTILITY/STATION WAGON","UNKNOWN","FAILURE TO YIELD RIGHT-OF-WAY","UNSPECIFIED","","","","Sun","Mar",14,"SAFE"
2015-03-01,"MANHATTAN",10012,40.7233651,-73.9957032,0,0,"SMALL COM VEH(4 TIRES)","PASSENGER VEHICLE","PHYSICAL DISABILITY","UNSPECIFIED","","","","Sun","Mar",14,"SAFE"
2015-03-01,"MANHATTAN",10013,40.7206092,-74.0084706,0,0,"SPORT UTILITY/STATION WAGON","OTHER","TRAFFIC CONTROL DISREGARDED","UNSPECIFIED","","","","Sun","Mar",14,"SAFE"
2015-03-01,"QUEENS",11362,40.7612819,-73.7426122,1,0,"SPORT UTILITY/STATION WAGON","","PAVEMENT SLIPPERY","","","","","Sun","Mar",14,"INJURED"
2015-03-01,"QUEENS",11421,40.6912455,-73.8508783,0,0,"PASSENGER VEHICLE","PASSENGER VEHICLE","UNSPECIFIED","UNSPECIFIED","","","","Sun","Mar",14,"SAFE"
